epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   65 ,       0.51439 ,       0.46527 ,       0.87238 ,             0.85926 ,          0.86598 ,         0.91925 ,            0.79021 ,     0.59875 ,     0.53521 ,     0.86282 ,0.00052359 ,0.00052359 ,0.00052359
   66 ,       0.51203 ,       0.46457 ,       0.87436 ,             0.84622 ,          0.86985 ,         0.91911 ,            0.78878 ,     0.61378 ,     0.57039 ,     0.87242 ,0.00050944 ,0.00050944 ,0.00050944
   67 ,       0.5133  ,       0.45555 ,       0.87228 ,             0.7783  ,          0.85913 ,         0.88391 ,            0.7675  ,     0.58338 ,     0.69367 ,     0.86335 ,0.00049529 ,0.00049529 ,0.00049529
   68 ,       0.52459 ,       0.46836 ,       0.87512 ,             0.80387 ,          0.83623 ,         0.87423 ,            0.76535 ,     0.61716 ,     0.79452 ,     0.88727 ,0.00048114 ,0.00048114 ,0.00048114
   69 ,       0.58299 ,       0.46581 ,       0.88837 ,             0.80685 ,          0.85651 ,         0.87346 ,            0.76466 ,     0.6037  ,     0.65669 ,     0.88143 ,0.000467   ,0.000467   ,0.000467
   70 ,       0.54111 ,       0.44741 ,       0.88055 ,             0.81154 ,          0.84893 ,         0.8814  ,            0.74412 ,     0.67135 ,     0.70718 ,     0.8913  ,0.00045285 ,0.00045285 ,0.00045285
   71 ,       0.50478 ,       0.438   ,       0.87315 ,             0.84397 ,          0.88063 ,         0.92219 ,            0.80044 ,     0.58518 ,     0.52974 ,     0.86458 ,0.0004387  ,0.0004387  ,0.0004387
   72 ,       0.48749 ,       0.43834 ,       0.86738 ,             0.85412 ,          0.89886 ,         0.92351 ,            0.82084 ,     0.5247  ,     0.49637 ,     0.84812 ,0.00042456 ,0.00042456 ,0.00042456
   73 ,       0.49984 ,       0.44383 ,       0.8701  ,             0.83009 ,          0.84475 ,         0.88121 ,            0.76086 ,     0.67799 ,     0.77242 ,     0.91709 ,0.00041041 ,0.00041041 ,0.00041041
   74 ,       0.51408 ,       0.43792 ,       0.87726 ,             0.82493 ,          0.87755 ,         0.89346 ,            0.77541 ,     0.56842 ,     0.55944 ,     0.85656 ,0.00039626 ,0.00039626 ,0.00039626
   75 ,       0.49061 ,       0.43429 ,       0.87141 ,             0.82742 ,          0.84591 ,         0.8867  ,            0.77663 ,     0.588   ,     0.65763 ,     0.8752  ,0.00038211 ,0.00038211 ,0.00038211
   76 ,       0.48914 ,       0.43371 ,       0.86088 ,             0.87202 ,          0.85267 ,         0.91185 ,            0.80661 ,     0.5676  ,     0.55223 ,     0.86803 ,0.00036797 ,0.00036797 ,0.00036797
   77 ,       0.50399 ,       0.42315 ,       0.87868 ,             0.88596 ,          0.87786 ,         0.92887 ,            0.83258 ,     0.50217 ,     0.46393 ,     0.84175 ,0.00035382 ,0.00035382 ,0.00035382
   78 ,       0.48022 ,       0.41349 ,       0.86583 ,             0.86527 ,          0.87434 ,         0.92274 ,            0.7948  ,     0.61226 ,     0.54496 ,     0.87257 ,0.00033967 ,0.00033967 ,0.00033967
   79 ,       0.47957 ,       0.40593 ,       0.86229 ,             0.87612 ,          0.87581 ,         0.92651 ,            0.81384 ,     0.55858 ,     0.48936 ,     0.8568  ,0.00032553 ,0.00032553 ,0.00032553
   80 ,       0.46634 ,       0.39653 ,       0.85646 ,             0.86475 ,          0.88915 ,         0.91366 ,            0.80633 ,     0.54393 ,     0.48075 ,     0.85089 ,0.00031138 ,0.00031138 ,0.00031138
   81 ,       0.4857  ,       0.42914 ,       0.86737 ,             0.81323 ,          0.7903  ,         0.84566 ,            0.72433 ,     0.68834 ,     0.84136 ,     0.90506 ,0.00029723 ,0.00029723 ,0.00029723
   82 ,       0.48091 ,       0.42594 ,       0.85841 ,             0.87417 ,          0.88606 ,         0.92812 ,            0.81273 ,     0.54929 ,     0.47629 ,     0.85313 ,0.00028308 ,0.00028308 ,0.00028308
   83 ,       0.47545 ,       0.41501 ,       0.86313 ,             0.78811 ,          0.77009 ,         0.81814 ,            0.67123 ,     0.84585 ,     1.1993  ,     0.98161 ,0.00026894 ,0.00026894 ,0.00026894
   84 ,       0.47169 ,       0.40258 ,       0.86145 ,             0.86076 ,          0.88539 ,         0.91047 ,            0.80234 ,     0.53292 ,     0.49719 ,     0.84864 ,0.00025479 ,0.00025479 ,0.00025479
   85 ,       0.48187 ,       0.39966 ,       0.86019 ,             0.88559 ,          0.87961 ,         0.92823 ,            0.83541 ,     0.494   ,     0.44839 ,     0.84186 ,0.00024064 ,0.00024064 ,0.00024064
   86 ,       0.49044 ,       0.39672 ,       0.86219 ,             0.8637  ,          0.89236 ,         0.91861 ,            0.78834 ,     0.60042 ,     0.50068 ,     0.86269 ,0.0002265  ,0.0002265  ,0.0002265
   87 ,       0.48923 ,       0.40204 ,       0.86508 ,             0.84396 ,          0.83392 ,         0.88423 ,            0.74456 ,     0.70946 ,     0.7035  ,     0.91687 ,0.00021235 ,0.00021235 ,0.00021235
   88 ,       0.50797 ,       0.39555 ,       0.87089 ,             0.89447 ,          0.88688 ,         0.93351 ,            0.83923 ,     0.49344 ,     0.45299 ,     0.8411  ,0.0001982  ,0.0001982  ,0.0001982
   89 ,       0.4736  ,       0.38191 ,       0.85878 ,             0.83864 ,          0.82597 ,         0.87777 ,            0.74779 ,     0.70341 ,     0.77062 ,     0.91577 ,0.00018406 ,0.00018406 ,0.00018406
   90 ,       0.46339 ,       0.37539 ,       0.85488 ,             0.8924  ,          0.87298 ,         0.93093 ,            0.83346 ,     0.50714 ,     0.45269 ,     0.84177 ,0.00016991 ,0.00016991 ,0.00016991
   91 ,       0.45282 ,       0.37433 ,       0.85752 ,             0.87937 ,          0.89484 ,         0.92658 ,            0.82353 ,     0.52105 ,     0.44857 ,     0.84497 ,0.00015576 ,0.00015576 ,0.00015576
   92 ,       0.46335 ,       0.38167 ,       0.86233 ,             0.86081 ,          0.91294 ,         0.93274 ,            0.83437 ,     0.50466 ,     0.44593 ,     0.84068 ,0.00014161 ,0.00014161 ,0.00014161
   93 ,       0.45455 ,       0.36472 ,       0.85099 ,             0.89129 ,          0.88267 ,         0.92342 ,            0.82111 ,     0.51224 ,     0.45112 ,     0.84074 ,0.00012747 ,0.00012747 ,0.00012747
   94 ,       0.46185 ,       0.36112 ,       0.86164 ,             0.87812 ,          0.89365 ,         0.92564 ,            0.83157 ,     0.48977 ,     0.43883 ,     0.83699 ,0.00011332 ,0.00011332 ,0.00011332
   95 ,       0.45619 ,       0.37401 ,       0.86521 ,             0.87196 ,          0.90635 ,         0.93103 ,            0.83325 ,     0.5001  ,     0.43668 ,     0.83953 ,9.9173e-05 ,9.9173e-05 ,9.9173e-05
   96 ,       0.45826 ,       0.36762 ,       0.8589  ,             0.8856  ,          0.8869  ,         0.92793 ,            0.83297 ,     0.49421 ,     0.43712 ,     0.83756 ,8.5026e-05 ,8.5026e-05 ,8.5026e-05
   97 ,       0.44967 ,       0.3628  ,       0.85514 ,             0.87706 ,          0.89631 ,         0.92852 ,            0.83484 ,     0.48932 ,     0.43588 ,     0.83689 ,7.0878e-05 ,7.0878e-05 ,7.0878e-05
   98 ,       0.44321 ,       0.36536 ,       0.85277 ,             0.8963  ,          0.8822  ,         0.92778 ,            0.83145 ,     0.49829 ,     0.43557 ,     0.83901 ,5.6731e-05 ,5.6731e-05 ,5.6731e-05
   99 ,       0.45208 ,       0.3551  ,       0.85876 ,             0.87614 ,          0.89961 ,         0.93065 ,            0.83391 ,     0.50005 ,     0.43064 ,     0.83947 ,4.2584e-05 ,4.2584e-05 ,4.2584e-05
  100 ,       0.45399 ,       0.35384 ,       0.86201 ,             0.8843  ,          0.88676 ,         0.93004 ,            0.83375 ,     0.4982  ,     0.43342 ,     0.83933 ,2.8437e-05 ,2.8437e-05 ,2.8437e-05
